"Station Name","WHITEHORSE RIVERDALE"
"Province","YUKON TERRITORY"
"Latitude","60.71"
"Longitude","-135.03"
"Elevation","640.10"
"Climate Identifier","2101400"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1983-01-01","1983","01","01","","-3.5","","-15.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1983-01-02","1983","01","02","","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-03","1983","01","03","","-9.0","","-11.0","","-10.0","","28.0","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-01-04","1983","01","04","","-15.5","","-17.5","","-16.5","","34.5","","0.0","","0.0","","1.4","","1.4","","","M","","","",""
"1983-01-05","1983","01","05","","-19.0","","-29.0","","-24.0","","42.0","","0.0","","0.0","","0.4","","0.4","","","M","","","",""
"1983-01-06","1983","01","06","","-22.0","","-30.5","","-26.3","","44.3","","0.0","","0.0","","7.0","","7.0","","","M","","","",""
"1983-01-07","1983","01","07","","-22.0","","-26.5","","-24.3","","42.3","","0.0","","0.0","","5.8","","5.8","","","M","","","",""
"1983-01-08","1983","01","08","","-24.0","","-27.5","","-25.8","","43.8","","0.0","","0.0","","0.2","","0.2","","","M","","","",""
"1983-01-09","1983","01","09","","-33.0","","-39.0","","-36.0","","54.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-10","1983","01","10","","-34.5","","-44.5","","-39.5","","57.5","","0.0","","0.0","","4.6","","4.6","","37","","","","",""
"1983-01-11","1983","01","11","","-30.0","","-37.5","","-33.8","","51.8","","0.0","","0.0","","5.0","","5.0","","","M","","","",""
"1983-01-12","1983","01","12","","-30.0","","-37.5","","-33.8","","51.8","","0.0","","0.0","","0.2","","0.2","","","M","","","",""
"1983-01-13","1983","01","13","","-26.5","","-34.5","","-30.5","","48.5","","0.0","","0.0","","2.0","","2.0","","","M","","","",""
"1983-01-14","1983","01","14","","-20.5","","-28.5","","-24.5","","42.5","","0.0","","0.0","","0.4","","0.4","","","M","","","",""
"1983-01-15","1983","01","15","","-9.0","","-25.0","","-17.0","","35.0","","0.0","","0.0","","0.2","","0.2","","","M","","","",""
"1983-01-16","1983","01","16","","-2.0","","-19.0","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-01-17","1983","01","17","","0.0","","-9.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"1983-01-18","1983","01","18","","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-19","1983","01","19","","-4.5","","-16.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-20","1983","01","20","","-14.5","","-21.5","","-18.0","","36.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-21","1983","01","21","","-19.5","","-30.0","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-22","1983","01","22","","-26.5","","-34.5","","-30.5","","48.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-23","1983","01","23","","-28.5","","-37.0","","-32.8","","50.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-24","1983","01","24","","-28.5","","-40.5","","-34.5","","52.5","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1983-01-25","1983","01","25","","-12.5","","-34.0","","-23.3","","41.3","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-01-26","1983","01","26","","-7.5","","-20.0","","-13.8","","31.8","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-01-27","1983","01","27","","-11.5","","-18.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-28","1983","01","28","","-8.5","","-16.5","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-01-29","1983","01","29","","-8.5","","-20.5","","-14.5","","32.5","","0.0","","0.0","","1.2","","1.2","","","M","","","",""
"1983-01-30","1983","01","30","","-2.5","","-13.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-01-31","1983","01","31","","-2.0","","-8.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1983-02-01","1983","02","01","","-3.0","","-8.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"1983-02-02","1983","02","02","","-3.5","","-9.5","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-03","1983","02","03","","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-04","1983","02","04","","-7.5","","-17.0","","-12.3","","30.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-05","1983","02","05","","-5.5","","-9.5","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-06","1983","02","06","","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-07","1983","02","07","","-4.0","","-9.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"1983-02-08","1983","02","08","","-6.0","","-16.0","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-09","1983","02","09","","-8.5","","-20.0","","-14.3","","32.3","","0.0","","0.0","","0.8","","0.8","","","M","","","",""
"1983-02-10","1983","02","10","","-6.5","","-15.5","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1983-02-11","1983","02","11","","-11.0","","-22.5","","-16.8","","34.8","","0.0","","0.0","","5.0","","5.0","","","M","","","",""
"1983-02-12","1983","02","12","","-10.0","","-18.0","","-14.0","","32.0","","0.0","","0.0","","2.0","","2.0","","","M","","","",""
"1983-02-13","1983","02","13","","-11.0","","-28.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1983-02-14","1983","02","14","","-14.5","","-27.5","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
