"Station Name","WHITEHORSE RIVERDALE"
"Province","YUKON TERRITORY"
"Latitude","60.71"
"Longitude","-135.03"
"Elevation","640.10"
"Climate Identifier","2101400"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1993-01-01","1993","01","01","","-15.5","","-24.5","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","29","","","","",""
"1993-01-02","1993","01","02","","-10.0","","-22.0","","-16.0","","34.0","","0.0","","0.0","","3.6","","3.6","","","M","","","",""
"1993-01-03","1993","01","03","","-13.5","","-19.0","","-16.3","","34.3","","0.0","","0.0","","0.4","","0.4","","","M","","","",""
"1993-01-04","1993","01","04","","-20.0","","-33.5","","-26.8","","44.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1993-01-05","1993","01","05","","-19.5","","-25.5","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-06","1993","01","06","","-10.0","","-24.0","","-17.0","","35.0","","0.0","","0.0","","3.0","","3.0","","","M","","","",""
"1993-01-07","1993","01","07","","-6.0","","-14.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-08","1993","01","08","","-13.5","","-21.0","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-09","1993","01","09","","-15.0","","-22.5","","-18.8","","36.8","","0.0","","0.0","","2.0","","2.0","","","M","","","",""
"1993-01-10","1993","01","10","","-13.0","","-24.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-11","1993","01","11","","-19.0","","-30.5","","-24.8","","42.8","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"1993-01-12","1993","01","12","","-22.5","","-28.5","","-25.5","","43.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-13","1993","01","13","","-20.0","","-30.0","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-14","1993","01","14","","-11.5","","-22.0","","-16.8","","34.8","","0.0","","0.0","","2.4","","2.4","","","M","","","",""
"1993-01-15","1993","01","15","","-13.0","","-22.5","","-17.8","","35.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-16","1993","01","16","","-3.0","","-26.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-17","1993","01","17","","-1.0","","-9.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-18","1993","01","18","","-1.0","","-3.0","","-2.0","","20.0","","0.0","","0.0","","6.4","","6.4","","29","","","","",""
"1993-01-19","1993","01","19","","-6.5","","-19.0","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-20","1993","01","20","","-6.5","","-19.0","","-12.8","","30.8","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-01-21","1993","01","21","","-19.0","","-21.0","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-01-22","1993","01","22","","-23.0","","-31.5","","-27.3","","45.3","","0.0","","0.0","","0.6","","0.6","","","M","","","",""
"1993-01-23","1993","01","23","","-24.0","","-29.5","","-26.8","","44.8","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-01-24","1993","01","24","","-26.0","","-35.5","","-30.8","","48.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-01-25","1993","01","25","","-31.5","","-41.0","","-36.3","","54.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-01-26","1993","01","26","","-29.5","","-39.0","","-34.3","","52.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-01-27","1993","01","27","","-19.0","","-37.5","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-01-28","1993","01","28","","0.0","","-23.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"1993-01-29","1993","01","29","","3.0","","-10.0","","-3.5","","21.5","","0.0","","0.0","T","1.4","","1.4","","26","","","","",""
"1993-01-30","1993","01","30","","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","3.4","","3.4","","27","","","","",""
"1993-01-31","1993","01","31","","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","29","","","","",""
"1993-02-01","1993","02","01","","-3.0","","-22.0","","-12.5","","30.5","","0.0","","0.0","","0.6","","0.6","","29","","","","",""
"1993-02-02","1993","02","02","","-25.5","","-34.5","","-30.0","","48.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-02-03","1993","02","03","","-28.0","","-38.0","","-33.0","","51.0","","0.0","","0.0","","3.4","","3.4","","","M","","","",""
"1993-02-04","1993","02","04","","-17.5","","-30.5","","-24.0","","42.0","","0.0","","0.0","","4.0","","4.0","","","M","","","",""
"1993-02-05","1993","02","05","","2.5","","-24.0","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-02-06","1993","02","06","","4.5","","-7.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-02-07","1993","02","07","","-4.0","","-15.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-02-08","1993","02","08","","-11.0","","-27.5","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1993-02-09","1993","02","09","","-5.5","","-23.5","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"1993-02-10","1993","02","10","","-5.5","","-15.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"1993-02-11","1993","02","11","","-2.5","","-11.0","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"1993-02-12","1993","02","12","","1.0","","-13.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"1993-02-13","1993","02","13","","-4.5","","-17.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-14","1993","02","14","","-3.0","","-10.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-15","1993","02","15","","-6.0","","-11.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-16","1993","02","16","","-4.0","","-14.5","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-17","1993","02","17","","-5.5","","-22.0","","-13.8","","31.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-18","1993","02","18","","-7.5","","-18.0","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"1993-02-19","1993","02","19","","-12.0","","-27.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1993-02-20","1993","02","20","","-10.0","","-27.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","30","","","","",""
"1993-02-21","1993","02","21","","-11.5","","-23.0","","-17.3","","35.3","","0.0","","0.0","","0.8","","0.8","","30","","","","",""
"1993-02-22","1993","02","22","","-8.0","","-26.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-02-23","1993","02","23","","-4.5","","-20.5","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"1993-02-24","1993","02","24","","-2.5","","-18.0","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1993-02-25","1993","02","25","","1.5","","-6.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","28","","","","",""
"1993-02-26","1993","02","26","","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"1993-02-27","1993","02","27","","6.5","","-3.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"1993-02-28","1993","02","28","","6.0","","-8.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"1993-03-01","1993","03","01","","3.5","","-1.0","","1.3","","16.7","","0.0","","0.0","","0.6","","0.6","","25","","","","",""
"1993-03-02","1993","03","02","","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-03","1993","03","03","","-1.5","","-13.5","","-7.5","","25.5","","0.0","","0.0","","0.8","","0.8","","","M","","","",""
"1993-03-04","1993","03","04","","3.0","","-9.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-05","1993","03","05","","1.5","","-9.5","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-03-06","1993","03","06","","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-07","1993","03","07","","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-08","1993","03","08","","0.5","","-12.5","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"1993-03-09","1993","03","09","","3.0","","-8.5","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-10","1993","03","10","","-1.0","","-19.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-11","1993","03","11","","-0.5","","-6.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-12","1993","03","12","","2.0","","-5.0","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","","M","","","",""
"1993-03-13","1993","03","13","","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","1.0","","1.0","","","M","","","",""
"1993-03-14","1993","03","14","","-6.5","","-10.5","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-15","1993","03","15","","-6.5","","-23.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"1993-03-16","1993","03","16","","-4.0","","-24.0","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-17","1993","03","17","","-3.0","","-27.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
"1993-03-18","1993","03","18","","-1.0","","-15.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","","M","","","",""
