"Station Name","IQALUIT CLIMATE"
"Province","NUNAVUT"
"Latitude","63.75"
"Longitude","-68.54"
"Elevation","33.50"
"Climate Identifier","2402592"
"WMO Identifier","71321"
"TC Identifier","XFB"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","†","-31.7","","-35.7","","-33.7","","51.7","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2015-01-02","2015","01","02","†","-31.0","","-36.1","","-33.6","","51.6","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2015-01-03","2015","01","03","†","-31.1","","-36.9","","-34.0","","52.0","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2015-01-04","2015","01","04","†","-30.6","","-36.4","","-33.5","","51.5","","0.0","","","M","","M","0.0","","15","","","","<31",""
"2015-01-05","2015","01","05","†","-28.0","","-34.5","","-31.3","","49.3","","0.0","","","M","","M","0.2","","15","","34","","46",""
"2015-01-06","2015","01","06","†","-28.9","","-34.1","","-31.5","","49.5","","0.0","","","M","","M","0.0","","16","","33","","48",""
"2015-01-07","2015","01","07","†","-23.2","","-33.5","","-28.4","","46.4","","0.0","","","M","","M","0.2","","16","","","","<31",""
"2015-01-08","2015","01","08","†","-25.5","","-30.0","","-27.8","","45.8","","0.0","","","M","","M","0.4","","16","","","","<31",""
"2015-01-09","2015","01","09","†","-23.4","","-30.6","","-27.0","","45.0","","0.0","","","M","","M","0.2","","17","","","","<31",""
"2015-01-10","2015","01","10","†","-25.0","","-31.0","","-28.0","","46.0","","0.0","","","M","","M","0.0","","17","","","","<31",""
"2015-01-11","2015","01","11","†","-28.7","","-36.4","","-32.6","","50.6","","0.0","","","M","","M","0.2","","17","","","","<31",""
