"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-01-01","1994","01","01","","2.7","","-1.9","","0.4","","17.6","","0.0","","0.4","","0.6","","1.0","","0","T","24","","41","E"
"1994-01-02","1994","01","02","","-0.5","","-17.2","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","0","T","32","","39","E"
"1994-01-03","1994","01","03","","-10.4","","-17.2","","-13.8","","31.8","","0.0","","0.0","","1.0","","1.0","","0","T","","","<31",""
"1994-01-04","1994","01","04","","-7.2","","-12.3","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","0","","34","","41","E"
"1994-01-05","1994","01","05","","-10.2","","-21.2","","-15.7","","33.7","","0.0","","0.0","","1.0","","1.0","","1","","31","","52","E"
"1994-01-06","1994","01","06","","-14.8","","-21.2","","-18.0","","36.0","","0.0","","0.0","","11.8","","11.8","","1","","7","","43",""
"1994-01-07","1994","01","07","","-13.0","","-21.2","","-17.1","","35.1","","0.0","","0.0","","5.4","","4.6","","12","","","","<31",""
"1994-01-08","1994","01","08","","-10.1","","-17.1","","-13.6","","31.6","","0.0","","0.0","","3.8","","3.0","","17","","","","<31",""
"1994-01-09","1994","01","09","","-11.8","","-26.1","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"1994-01-10","1994","01","10","","-4.6","","-27.9","","-16.3","","34.3","","0.0","","0.0","","0.0","T","0.0","T","19","","","","<31",""
"1994-01-11","1994","01","11","","1.7","","-13.0","","-5.7","","23.7","","0.0","","0.0","","1.4","","1.4","","20","","28","","35",""
"1994-01-12","1994","01","12","","-0.2","","-18.8","","-9.5","","27.5","","0.0","","0.0","T","0.0","T","0.0","T","17","","","","<31",""
"1994-01-13","1994","01","13","","0.1","","-7.0","","-3.5","","21.5","","0.0","","0.0","T","0.8","","0.8","","14","","","","<31",""
"1994-01-14","1994","01","14","","-6.8","","-23.0","","-14.9","","32.9","","0.0","","0.0","","0.6","","0.6","","13","","33","","37",""
"1994-01-15","1994","01","15","","-23.0","","-32.8","","-27.9","","45.9","","0.0","","0.0","","0.0","","0.0","","13","","33","","43","E"
"1994-01-16","1994","01","16","","-11.4","","-35.2","","-23.3","","41.3","","0.0","","0.0","","6.1","","5.8","","13","","","","<31",""
"1994-01-17","1994","01","17","","-6.9","","-16.1","","-11.5","","29.5","","0.0","","0.0","","13.2","","12.8","","28","","29","","35","E"
"1994-01-18","1994","01","18","","-15.2","","-20.3","","-17.8","","35.8","","0.0","","0.0","","1.6","","1.6","","28","","28","","46","E"
"1994-01-19","1994","01","19","","-18.3","","-22.9","","-20.6","","38.6","","0.0","","0.0","","0.0","T","0.0","T","29","","23","","46","E"
"1994-01-20","1994","01","20","","-13.0","","-23.2","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","29","","24","","33","E"
"1994-01-21","1994","01","21","","-9.2","","-18.1","","-13.7","","31.7","","0.0","","0.0","","0.0","T","0.0","T","28","","23","","50","E"
"1994-01-22","1994","01","22","","-7.0","","-17.0","","-12.0","","30.0","","0.0","","0.0","","0.2","","0.2","","22","","32","","52","E"
"1994-01-23","1994","01","23","","1.5","","-14.4","","-6.5","","24.5","","0.0","","3.0","","1.8","","4.4","","22","","","","<31",""
"1994-01-24","1994","01","24","","0.4","","-13.2","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","20","","28","","35","E"
"1994-01-25","1994","01","25","","-8.8","","-17.5","","-13.2","","31.2","","0.0","","0.0","","0.4","","0.4","","20","","","","<31",""
"1994-01-26","1994","01","26","","-17.5","","-24.0","","-20.8","","38.8","","0.0","","0.0","","0.0","T","0.0","T","20","","6","","32","E"
"1994-01-27","1994","01","27","","0.8","","-22.8","","-11.0","","29.0","","0.0","","4.2","","4.8","","9.0","","19","","13","","35",""
"1994-01-28","1994","01","28","","4.1","","-6.5","","-1.2","","19.2","","0.0","","4.2","","3.8","","7.8","","16","","26","","44",""
"1994-01-29","1994","01","29","","-6.2","","-16.1","","-11.2","","29.2","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"1994-01-30","1994","01","30","","-15.3","","-23.1","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"1994-01-31","1994","01","31","","-12.1","","-27.0","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"1994-02-01","1994","02","01","","-9.0","","-22.3","","-15.7","","33.7","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"1994-02-02","1994","02","02","","-4.4","","-24.0","","-14.2","","32.2","","0.0","","0.0","","0.0","T","0.0","T","14","","19","","56","E"
